,Test,Accuracy,Precision,Recall,F1 Score
0,1,0.41,0.34483378256963165,0.41,0.29622864874006427
1,2,0.41,0.3472222222222222,0.41,0.2989657401422107
2,3,0.37666666666666665,0.33082624809243516,0.37666666666666665,0.2511059068436118
3,4,0.38,0.3171889838556505,0.38,0.2591458909459374
4,5,0.39666666666666667,0.3150044923629829,0.39666666666666667,0.2795873499069846
5,6,0.38666666666666666,0.3345454545454546,0.38666666666666666,0.26311111111111113
6,7,0.38,0.2744533717072391,0.38,0.25191529268982255
7,8,0.37333333333333335,0.30753937110866947,0.37333333333333335,0.24552701760439352
8,9,0.39666666666666667,0.3088924601580287,0.39666666666666667,0.2819280967251181
9,10,0.41,0.3639614427860696,0.41,0.29732103645147123
